WaveLength,R,G,B,C
0,0,0,0,0
200,0,0,0,0
250,0,0,0,0
280,0,0,0,0
290,0,0,0,0
300,0.001,0.001,0.001,0.001
400,0.01,0.01,0.01,0.01
410,0.05,0.05,0.4,0.5
420,0.1,0.07,0.47,0.56
430,0.05,0.08,0.5,0.57
450,0.01,0.1,0.56,0.61
475,0.01,0.27,0.48,0.7
500,0.01,0.38,0.38,0.75
525,0.05,0.6,0.18,0.78
550,0.1,0.65,0.1,0.85
600,0.8,0.1,0.1,0.95
610,0.87,0.09,0.1,1
625,0.81,0.05,0.08,0.9
650,0.2,0.02,0.05,0.2
660,0.24,0.03,0.06,0.24
675,0.06,0.01,0.01,0.06
700,0.05,0.01,0.01,0.05
725,0.06,0.02,0.02,0.06
740,0.07,0.02,0.02,0.07
760,0.15,0.08,0.05,0.15
780,0.08,0.05,0.06,0.08
800,0.08,0.07,0.08,0.08
825,0.11,0.1,0.11,0.11
850,0.08,0.08,0.08,0.08
900,0.06,0.06,0.06,0.06
975,0.05,0.05,0.05,0.05
1025,0.09,0.09,0.09,0.09
1100,0.03,0.03,0.03,0.03
